Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Award
NBA,Woody Sauldsberry,,23,PHW,71,33.5,12.8,10.3,0.8,,,.360,,.615,0.3,.007,roy
NBA,Tom Heinsohn,,22,BOS,72,29.9,16.2,9.8,1.6,,,.397,,.790,7.1,.160,roy
NBA,Maurice Stokes,,22,ROC,67,34.7,16.8,16.3,4.9,,,.354,,.714,6.0,.125,roy
NBA,Bob Pettit,,22,MLH,72,36.9,20.4,13.8,3.2,,,.407,,.751,10.7,.194,roy
NBA,Ray Felix,,23,BLB,72,37.1,17.6,13.3,1.1,,,.417,,.638,8.6,.155,roy
NBA,Monk Meineke,,22,FTW,68,33.1,10.7,6.9,2.2,,,.381,,.783,6.1,.130,roy
NBA,Mel Hutchins (Tie) *,,23,MLH,66,39.7,9.2,13.3,2.9,,,.365,,.644,3.8,.069,roy
NBA,Bill Tosheff (Tie) *,,25,INO,65,31.6,9.4,3.3,3.4,,,.327,,.824,2.9,.068,roy
NBA,Paul Arizin *,,22,PHW,65,,17.2,9.8,2.1,,,.407,,.793,13.7,,roy
NBA,Alex Groza *,,23,INO,64,,23.4,,2.5,,,.478,,.729,17.9,,roy
BAA,Howie Shannon *,,25,PRO,55,,13.4,,2.3,,,.364,,.804,3.4,,roy
BAA,Paul Hoffman *,,22,BLB,37,,10.5,,0.6,,,.348,,.662,4.7,,roy
Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Award
NBA,Marcus Smart, (V),27,BOS,71,32.3,12.1,3.8,5.9,1.7,0.3,.418,.331,.793,5.6,.116,dpoy
NBA,Rudy Gobert, (V),28,UTA,71,30.8,14.3,13.5,1.3,0.6,2.7,.675,.000,.623,11.3,.248,dpoy
NBA,Giannis Antetokounmpo, (V),25,MIL,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279,dpoy
NBA,Rudy Gobert, (V),26,UTA,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268,dpoy
NBA,Rudy Gobert, (V),25,UTA,56,32.4,13.5,10.7,1.4,0.8,2.3,.622,,.682,8.1,.214,dpoy
NBA,Draymond Green, (V),26,GSW,76,32.5,10.2,7.9,7.0,2.0,1.4,.418,.308,.709,8.2,.160,dpoy
NBA,Kawhi Leonard, (V),24,SAS,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277,dpoy
NBA,Kawhi Leonard, (V),23,SAS,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,dpoy
NBA,Joakim Noah, (V),28,CHI,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190,dpoy
NBA,Marc Gasol, (V),28,MEM,80,35.0,14.1,7.8,4.0,1.0,1.7,.494,.071,.848,11.5,.197,dpoy
NBA,Tyson Chandler, (V),29,NYK,62,33.2,11.3,9.9,0.9,0.9,1.4,.679,.000,.689,9.5,.220,dpoy
NBA,Dwight Howard, (V),25,ORL,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235,dpoy
NBA,Dwight Howard, (V),24,ORL,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,dpoy
NBA,Dwight Howard, (V),23,ORL,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234,dpoy
NBA,Kevin Garnett, (V),31,BOS,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265,dpoy
NBA,Marcus Camby, (V),32,DEN,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155,dpoy
NBA,Ben Wallace, (V),31,DET,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168,dpoy
NBA,Ben Wallace, (V),30,DET,74,36.1,9.7,12.2,1.7,1.4,2.4,.453,.111,.428,8.5,.153,dpoy
NBA,Metta World Peace, (V),24,IND,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,dpoy
NBA,Ben Wallace, (V),28,DET,73,39.4,6.9,15.4,1.6,1.4,3.2,.481,.167,.450,10.6,.176,dpoy
NBA,Ben Wallace, (V),27,DET,80,36.5,7.6,13.0,1.4,1.7,3.5,.531,.000,.423,11.6,.190,dpoy
NBA,Dikembe Mutombo, (V),34,TOT,75,34.5,10.0,13.5,1.0,0.4,2.7,.484,,.725,8.1,.151,dpoy
NBA,Alonzo Mourning, (V),29,MIA,79,34.8,21.7,9.5,1.6,0.5,3.7,.551,.000,.711,12.9,.226,dpoy
NBA,Alonzo Mourning, (V),28,MIA,46,38.1,20.1,11.0,1.6,0.7,3.9,.511,.000,.652,7.9,.216,dpoy
NBA,Dikembe Mutombo, (V),31,ATL,82,35.6,13.4,11.4,1.0,0.4,3.4,.537,,.670,10.8,.177,dpoy
NBA,Dikembe Mutombo, (V),30,ATL,80,37.2,13.3,11.6,1.4,0.6,3.3,.527,,.705,11.3,.183,dpoy
NBA,Gary Payton, (V),27,SEA,81,39.0,19.3,4.2,7.5,2.9,0.2,.484,.328,.748,11.5,.174,dpoy
NBA,Dikembe Mutombo, (V),28,DEN,82,37.8,11.5,12.5,1.4,0.5,3.9,.556,,.654,8.7,.135,dpoy
NBA,Hakeem Olajuwon, (V),31,HOU,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210,dpoy
NBA,Hakeem Olajuwon, (V),30,HOU,82,39.5,26.1,13.0,3.5,1.8,4.2,.529,.000,.779,15.8,.234,dpoy
NBA,David Robinson, (V),26,SAS,68,37.7,23.2,12.2,2.7,2.3,4.5,.551,.125,.701,13.9,.260,dpoy
NBA,Dennis Rodman, (V),29,DET,82,33.5,8.2,12.5,1.0,0.8,0.7,.493,.200,.631,8.7,.151,dpoy
NBA,Dennis Rodman, (V),28,DET,82,29.0,8.8,9.7,0.9,0.6,0.7,.581,.111,.654,9.3,.189,dpoy
NBA,Mark Eaton, (V),32,UTA,82,35.5,6.2,10.3,1.0,0.5,3.8,.462,,.660,6.6,.108,dpoy
NBA,Michael Jordan, (V),24,CHI,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308,dpoy
NBA,Michael Cooper, (V),30,LAL,82,27.5,10.5,3.1,4.5,1.0,0.5,.438,.385,.851,6.1,.131,dpoy
NBA,Alvin Robertson, (V),23,SAS,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143,dpoy
NBA,Mark Eaton, (V),28,UTA,82,34.3,9.7,11.3,1.5,0.4,5.6,.449,,.712,5.4,.093,dpoy
NBA,Sidney Moncrief, (V),26,MIL,79,38.9,20.9,6.7,4.5,1.4,0.3,.498,.278,.848,12.7,.198,dpoy
NBA,Sidney Moncrief, (V),25,MIL,76,35.7,22.5,5.8,3.9,1.5,0.3,.524,.100,.826,13.2,.233,dpoy
Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Award
NBA,Tyler Herro, (V),22,MIA,66,32.6,20.7,5.0,4.0,0.7,0.1,.447,.399,.868,3.8,.084,smoy
NBA,Jordan Clarkson, (V),28,UTA,68,26.7,18.4,4.0,2.5,0.9,0.1,.425,.347,.896,4.2,.111,smoy
NBA,Montrezl Harrell, (V),26,LAC,63,27.8,18.6,7.1,1.7,0.6,1.1,.580,.000,.658,7.0,.191,smoy
NBA,Lou Williams, (V),32,LAC,75,26.6,20.0,3.0,5.4,0.8,0.1,.425,.361,.876,5.1,.123,smoy
NBA,Lou Williams, (V),31,LAC,79,32.8,22.6,2.5,5.3,1.1,0.2,.435,.359,.880,6.7,.125,smoy
NBA,Eric Gordon, (V),28,HOU,75,31.0,16.2,2.7,2.5,0.6,0.5,.406,.372,.840,3.8,.079,smoy
NBA,Jamal Crawford, (V),35,LAC,79,26.9,14.2,1.8,2.3,0.7,0.2,.404,.340,.904,3.3,.076,smoy
NBA,Lou Williams, (V),28,TOR,80,25.2,15.5,1.9,2.1,1.1,0.1,.404,.340,.861,6.6,.157,smoy
NBA,Jamal Crawford, (V),33,LAC,69,30.3,18.6,2.3,3.2,0.9,0.2,.416,.361,.866,5.3,.122,smoy
NBA,J.R. Smith, (V),27,NYK,80,33.5,18.1,5.3,2.7,1.3,0.3,.422,.356,.762,6.7,.120,smoy
NBA,James Harden, (V),22,OKC,62,31.4,16.8,4.1,3.7,1.0,0.2,.491,.390,.846,9.3,.230,smoy
NBA,Lamar Odom, (V),31,LAL,82,32.2,14.4,8.7,3.0,0.6,0.7,.530,.382,.675,10.1,.184,smoy
NBA,Jamal Crawford, (V),29,ATL,79,31.1,18.0,2.5,3.0,0.8,0.2,.449,.382,.857,7.3,.143,smoy
NBA,Jason Terry, (V),31,DAL,74,33.7,19.6,2.4,3.4,1.3,0.3,.463,.366,.880,7.3,.140,smoy
NBA,Manu Ginóbili, (V),30,SAS,74,31.1,19.5,4.8,4.5,1.5,0.4,.460,.401,.860,11.1,.232,smoy
NBA,Leandro Barbosa, (V),24,PHO,80,32.7,18.1,2.7,4.0,1.2,0.2,.476,.434,.845,8.2,.151,smoy
NBA,Mike Miller, (V),25,MEM,74,30.6,13.7,5.4,2.7,0.7,0.4,.466,.407,.800,7.4,.157,smoy
NBA,Ben Gordon, (V),21,CHI,82,24.4,15.1,2.6,2.0,0.6,0.1,.411,.405,.863,3.5,.084,smoy
NBA,Antawn Jamison, (V),27,DAL,82,29.0,14.8,6.3,0.9,1.0,0.4,.535,.400,.748,9.0,.183,smoy
NBA,Bobby Jackson, (V),29,SAC,59,28.4,15.2,3.7,3.1,1.2,0.1,.464,.379,.846,5.5,.157,smoy
NBA,Corliss Williamson, (V),28,DET,78,21.8,13.6,4.1,1.2,0.6,0.3,.510,.200,.805,5.1,.144,smoy
