,Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player,2P,2PA,2Pcent
626,10/30/2022,21.175342465753424,L,1,35.1,3,12,0.25,0,3,0.0,5,6,0.833,0,2,2,4,0,1,3,2,11,3.7,-8.0,Franz Wagner,3,9,0.3333333333333333
633,11/14/2022,21.216438356164385,L,1,33.583333333333336,9,17,0.529,1,1,1.0,4,4,1.0,1,5,6,3,0,0,3,2,23,15.2,-11.0,Franz Wagner,8,16,0.5
634,11/16/2022,21.221917808219178,L,1,34.88333333333333,7,17,0.412,1,1,1.0,3,4,0.75,1,5,6,4,0,1,2,3,18,11.0,-25.0,Franz Wagner,6,16,0.375
636,11/19/2022,21.23013698630137,L,1,30.716666666666665,9,17,0.529,5,9,0.556,6,6,1.0,0,5,5,3,1,0,2,3,29,22.1,-4.0,Franz Wagner,4,8,0.5
637,11/21/2022,21.235616438356164,L,1,30.55,6,11,0.545,0,1,0.0,8,10,0.8,0,6,6,3,1,0,3,5,20,13.8,-16.0,Franz Wagner,6,10,0.6
638,11/25/2022,21.246575342465754,L,1,36.233333333333334,7,12,0.583,1,5,0.2,9,10,0.9,1,3,4,1,1,0,2,2,24,18.5,-8.0,Franz Wagner,6,7,0.8571428571428571
639,11/27/2022,21.252054794520546,L,1,26.766666666666666,6,11,0.545,1,4,0.25,4,5,0.8,0,3,3,2,0,1,2,1,17,11.9,-15.0,Franz Wagner,5,7,0.7142857142857143
640,10/19/2022,22.923287671232877,L,0,17.533333333333335,4,6,0.667,0,0,,2,2,1.0,2,4,6,0,0,1,2,0,10,8.7,-4.0,Bol Bol,4,6,0.6666666666666666
641,10/21/2022,22.92876712328767,L,0,11.75,2,3,0.667,0,0,,1,1,1.0,1,2,3,0,0,2,1,0,5,5.4,-4.0,Bol Bol,2,3,0.6666666666666666
643,10/24/2022,22.936986301369863,L,0,20.266666666666666,8,10,0.8,1,2,0.5,2,2,1.0,3,2,5,0,0,4,2,2,19,17.9,0.0,Bol Bol,7,8,0.875
644,10/26/2022,22.942465753424656,L,0,21.766666666666666,4,7,0.571,1,2,0.5,0,2,0.0,3,7,10,1,0,2,0,2,9,10.4,-2.0,Bol Bol,3,5,0.6
646,10/30/2022,22.953424657534246,L,1,29.733333333333334,7,10,0.7,0,1,0.0,2,2,1.0,3,8,11,0,0,3,2,4,16,14.8,-5.0,Bol Bol,7,9,0.7777777777777778
647,11/1/2022,22.958904109589042,L,1,30.883333333333333,4,6,0.667,1,1,1.0,4,4,1.0,3,9,12,1,0,4,6,2,13,11.9,-3.0,Bol Bol,3,5,0.6
648,11/3/2022,22.964383561643835,W,1,18.65,2,3,0.667,0,1,0.0,0,0,,1,5,6,1,0,2,0,1,4,6.6,-11.0,Bol Bol,2,2,1.0
650,11/7/2022,22.975342465753425,L,1,20.583333333333332,2,5,0.4,0,1,0.0,5,5,1.0,0,3,3,0,1,1,3,0,9,5.9,-1.0,Bol Bol,2,4,0.5
651,11/9/2022,22.980821917808218,W,1,25.216666666666665,4,6,0.667,2,2,1.0,1,2,0.5,0,7,7,0,0,1,2,1,11,8.4,-3.0,Bol Bol,2,4,0.5
653,11/14/2022,22.994520547945207,L,1,30.7,5,13,0.385,2,6,0.333,2,2,1.0,3,6,9,2,0,2,6,1,14,7.2,-14.0,Bol Bol,3,7,0.42857142857142855
654,11/16/2022,23.0,L,1,34.75,12,21,0.571,0,4,0.0,2,2,1.0,3,9,12,1,1,3,4,2,26,19.9,-22.0,Bol Bol,12,17,0.7058823529411765
657,11/21/2022,23.013698630136986,L,1,27.2,4,11,0.364,0,1,0.0,1,2,0.5,1,8,9,2,0,0,4,2,9,2.2,-14.0,Bol Bol,4,10,0.4
658,11/25/2022,23.024657534246575,L,1,35.016666666666666,8,14,0.571,1,3,0.333,1,2,0.5,2,6,8,2,1,4,0,1,18,19.0,-7.0,Bol Bol,7,11,0.6363636363636364
