Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player
11/18/2022,29-143,W (+1),1,48:30:00,9,18,0.5,5,9,0.556,4,4,1,0,2,2,8,1,0,7,2,27,17.4,10,Bradley Beal
11/20/2022,29-145,W (+4),1,40:33:00,11,21,0.524,3,7,0.429,1,2,0.5,0,4,4,5,5,0,5,4,26,18.4,4,Bradley Beal
11/25/2022,29-150,L (-3),1,37:48:00,11,20,0.55,4,7,0.571,2,3,0.667,2,3,5,5,1,3,1,3,28,24.7,-4,Bradley Beal
11/27/2022,29-152,L (-9),1,34:47:00,11,19,0.579,0,3,0,8,9,0.889,1,4,5,4,2,0,2,1,30,25,-28,Bradley Beal
10/25/2022,24-002,W (+21),0,2:18,1,1,1,0,0,,0,0,,1,2,3,0,0,0,1,0,2,2,0,Jordan Goodwin
10/30/2022,24-007,L (-18),0,18:20,3,4,0.75,0,1,0,0,0,,0,2,2,2,1,1,1,1,6,6.7,8,Jordan Goodwin
11/4/2022,24-012,L (-42),0,7:43,0,2,0,0,1,0,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-5,Jordan Goodwin
11/6/2022,24-014,L (-6),0,26:02:00,4,7,0.571,1,4,0.25,0,0,,4,4,8,5,2,1,0,3,9,14.7,12,Jordan Goodwin
11/7/2022,24-015,W (+8),0,21:23,7,7,1,1,1,1,2,2,1,2,2,4,5,0,2,1,1,17,20.4,10,Jordan Goodwin
11/10/2022,24-018,W (+8),0,28:44:00,1,4,0.25,0,1,0,0,0,,1,6,7,6,1,0,2,2,2,4.5,12,Jordan Goodwin
11/12/2022,24-020,W (+9),0,20:32,3,8,0.375,3,3,1,0,0,,1,1,2,2,1,2,0,3,9,8.2,-8,Jordan Goodwin
11/13/2022,24-021,W (+10),0,26:08:00,3,7,0.429,3,4,0.75,1,2,0.5,1,7,8,4,1,1,0,2,10,12.4,3,Jordan Goodwin
11/16/2022,24-024,L (-1),0,19:43,2,3,0.667,0,0,,0,0,,2,1,3,1,0,1,3,2,4,2,-15,Jordan Goodwin
11/20/2022,24-028,W (+4),0,24:29:00,2,4,0.5,1,1,1,0,2,0,1,1,2,1,0,3,1,2,5,4.2,-13,Jordan Goodwin
11/23/2022,24-031,L (-8),1,24:39:00,3,7,0.429,1,2,0.5,1,3,0.333,0,1,1,3,1,0,0,2,8,6.1,-1,Jordan Goodwin
11/25/2022,24-033,L (-3),0,25:04:00,2,4,0.5,1,2,0.5,2,2,1,1,5,6,2,2,0,2,3,7,7.4,0,Jordan Goodwin
11/27/2022,24-035,L (-9),0,24:19:00,4,8,0.5,0,3,0,1,2,0.5,0,1,1,2,2,1,0,3,9,7.8,-6,Jordan Goodwin
11/4/2022,23-246,L (-42),0,18:07,0,6,0,0,5,0,2,2,1,0,1,1,2,0,0,2,0,2,-2.5,-9,Corey Kispert
11/6/2022,23-248,L (-6),1,23:47,3,6,0.5,0,3,0,0,1,0,0,3,3,3,0,0,0,0,6,5.6,-15,Corey Kispert
11/7/2022,23-249,W (+8),1,19:15,3,4,0.75,1,2,0.5,1,1,1,0,3,3,1,0,0,1,4,8,5.4,-7,Corey Kispert
11/10/2022,23-252,W (+8),1,23:26,2,4,0.5,1,2,0.5,2,2,1,0,0,0,1,2,0,0,1,7,7.3,5,Corey Kispert
11/12/2022,23-254,W (+9),1,28:45:00,6,6,1,4,4,1,2,2,1,0,4,4,2,1,0,0,2,18,19,14,Corey Kispert
11/13/2022,23-255,W (+10),1,32:03:00,5,8,0.625,2,2,1,0,0,,0,2,2,1,2,0,1,0,12,10.7,13,Corey Kispert
11/16/2022,23-258,L (-1),0,11:10,1,3,0.333,0,2,0,0,0,,0,0,0,2,0,0,2,1,2,-0.7,-20,Corey Kispert
11/18/2022,23-260,W (+1),0,38:29:00,6,9,0.667,5,8,0.625,0,0,,2,2,4,3,2,0,0,2,17,18.4,8,Corey Kispert
11/20/2022,23-262,W (+4),1,32:20:00,4,7,0.571,2,3,0.667,4,4,1,2,4,6,3,0,1,0,0,14,16.1,19,Corey Kispert
11/23/2022,23-265,L (-8),1,39:22:00,3,8,0.375,2,6,0.333,0,0,,1,1,2,2,1,0,2,1,8,4.6,-5,Corey Kispert
11/25/2022,23-267,L (-3),1,34:32:00,2,9,0.222,1,7,0.143,0,1,0,2,0,2,4,1,0,1,2,5,2.5,-9,Corey Kispert
11/27/2022,23-269,L (-9),1,21:52,3,8,0.375,1,3,0.333,1,2,0.5,0,1,1,0,0,0,0,1,8,3.1,-18,Corey Kispert
10/25/2022,37-123,W (+21),0,2:54,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1,Taj Gibson
10/30/2022,37-128,L (-18),0,5:13,3,4,0.75,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,7,5.7,4,Taj Gibson
10/31/2022,37-129,L (-7),0,2:41,0,0,,0,0,,2,2,1,0,0,0,0,0,0,0,1,2,1.6,-3,Taj Gibson
11/4/2022,37-133,L (-42),0,7:43,1,3,0.333,0,0,,2,2,1,0,3,3,0,0,0,0,1,4,2.8,-5,Taj Gibson
