Season,Player,Salary,times_injured,WS,Pos,OWS,DWS,Age,FG,FGA,X3P,X3PA,X2P,X2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022,Ivica Zubac,10123457,17,7.2,C,4.3,2.9,24,4.1,6.5,0,0,4.1,6.5,2.2,3,2.9,5.6,8.5,1.6,0.5,1,1.5,2.7,10.3
2022,Ja Morant,12119440,4,6.7,PG,4.6,2.1,22,10.2,20.6,1.5,4.5,8.6,16.2,5.5,7.3,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.4
2022,Jae Crowder,10183800,17,4.3,PF,0.9,3.4,31,3.2,8.1,1.9,5.4,1.3,2.7,1.1,1.3,0.4,4.8,5.3,1.9,1.4,0.4,0.8,2.6,9.4
2022,Jakob Poeltl,9398148,4,6.9,C,4.4,2.5,26,6,9.8,0,0,6,9.7,1.4,2.8,3.9,5.5,9.3,2.8,0.7,1.7,1.6,3.1,13.5
2022,Jalen Brunson,27733332,2,7.5,SG,4.9,2.7,25,6.4,12.8,1.2,3.2,5.2,9.6,2.3,2.7,0.5,3.4,3.9,4.8,0.8,0,1.6,1.9,16.3
2023,Jamal Murray,31650600,6,0.2,PG,0,0.2,25,6.5,15.2,1.7,4.8,4.8,10.5,1.8,2.3,0.6,3.3,3.9,4.5,1,0.1,2.2,0.8,16.5
2022,James Harden,33000000,26,7.6,PG,4.9,2.7,32,6.3,15.3,2.3,6.9,4,8.4,7.2,8.2,0.8,6.8,7.7,10.3,1.3,0.6,4.4,2.4,22
2022,James Johnson,1836090,32,1.7,PF,0.6,1.1,34,2.3,5,0.4,1.4,2,3.6,0.5,0.9,0.8,2.6,3.5,2.1,0.5,0.5,0.8,2.6,5.5
2022,JaMychal Green,10036090,19,2.7,PF,1.2,1.4,31,2.4,4.9,0.5,1.9,1.9,3,1.2,1.4,1.2,3,4.2,0.9,0.6,0.4,0.9,2.4,6.4
2022,Jaren Jackson Jr.,28946605,7,5.4,PF,1.7,3.7,22,5.5,13.3,1.6,5.1,3.9,8.1,3.6,4.4,1.5,4.3,5.8,1.1,0.9,2.3,1.7,3.5,16.3
2022,Jarred Vanderbilt,4374000,2,6,PF,3.1,2.9,22,2.9,4.9,0,0.2,2.8,4.7,1.2,1.8,2.9,5.5,8.4,1.3,1.3,0.6,1,2.4,6.9
2022,Jarrett Allen,20000000,5,8.5,C,5.4,3,23,6.6,9.7,0,0.2,6.6,9.6,2.9,4.2,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
2022,JaVale McGee,5461219,21,4.9,C,2.4,2.6,34,3.9,6.2,0,0.1,3.9,6.1,1.4,2,2.2,4.5,6.7,0.6,0.3,1.1,1.3,2.4,9.2
2022,Javonte Green,1815677,3,4.4,SF,2.9,1.5,28,2.7,5,0.6,1.6,2.2,3.4,1.2,1.5,1.4,2.8,4.2,0.9,1,0.5,0.5,2,7.2
2022,Jaylen Brown,28741071,21,5.8,SF,2.3,3.4,25,8.7,18.4,2.5,7,6.2,11.4,3.7,4.8,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6
2022,Jaylen Nowell,1930681,1,2.8,SG,2.1,0.7,22,3.2,6.7,1,2.6,2.1,4.1,1.2,1.5,0.4,1.6,2,2.1,0.4,0.2,0.6,1.2,8.5
2022,Jayson Tatum,30351780,8,9.6,SF,5,4.6,23,9.3,20.6,3,8.6,6.3,12,5.3,6.2,1.1,6.9,8,4.4,1,0.6,2.9,2.3,26.9
